Name,Time,Comparisons,Size
QuickSort + InsertionSort@8,0.24179,1476,100
QuickSort + InsertionSort@8,0.137447,1476,100
QuickSort + InsertionSort@8,0.128159,1476,100
QuickSort + InsertionSort@8,0.08807,1476,100
QuickSort + InsertionSort@8,0.068654,1476,100
QuickSort + InsertionSort@8,0.040159,1476,100
QuickSort + InsertionSort@8,0.809321,42416,1000
QuickSort + InsertionSort@8,2.828781,42416,1000
QuickSort + InsertionSort@8,2.183238,42416,1000
QuickSort + InsertionSort@8,1.183181,42416,1000
QuickSort + InsertionSort@8,0.15819,42416,1000
QuickSort + InsertionSort@8,0.257784,42416,1000
QuickSort + InsertionSort@8,0.912895,103521,2000
QuickSort + InsertionSort@8,0.733613,103521,2000
QuickSort + InsertionSort@8,0.397536,103521,2000
QuickSort + InsertionSort@8,0.348927,103521,2000
QuickSort + InsertionSort@8,0.338241,103521,2000
QuickSort + InsertionSort@8,0.839143,103521,2000
QuickSort + InsertionSort@8,0.786622,139301,3000
QuickSort + InsertionSort@8,0.458438,139301,3000
QuickSort + InsertionSort@8,0.407174,139301,3000
QuickSort + InsertionSort@8,0.490077,139301,3000
QuickSort + InsertionSort@8,0.48854,139301,3000
QuickSort + InsertionSort@8,0.403264,139301,3000
QuickSort + InsertionSort@8,0.560546,195316,4000
QuickSort + InsertionSort@8,0.547276,195316,4000
QuickSort + InsertionSort@8,0.542457,195316,4000
QuickSort + InsertionSort@8,0.586108,195316,4000
QuickSort + InsertionSort@8,0.54993,195316,4000
QuickSort + InsertionSort@8,0.633251,195316,4000
QuickSort + InsertionSort@8,0.84501,293295,5000
QuickSort + InsertionSort@8,0.786972,293295,5000
QuickSort + InsertionSort@8,0.757289,293295,5000
QuickSort + InsertionSort@8,0.758896,293295,5000
QuickSort + InsertionSort@8,0.746813,293295,5000
QuickSort + InsertionSort@8,0.789556,293295,5000
QuickSort + InsertionSort@8,0.997822,368724,6000
QuickSort + InsertionSort@8,0.958711,368724,6000
QuickSort + InsertionSort@8,0.938457,368724,6000
QuickSort + InsertionSort@8,0.927212,368724,6000
QuickSort + InsertionSort@8,0.939785,368724,6000
QuickSort + InsertionSort@8,0.934267,368724,6000
QuickSort + InsertionSort@8,1.282984,437027,7000
QuickSort + InsertionSort@8,1.295975,437027,7000
QuickSort + InsertionSort@8,1.43049,437027,7000
QuickSort + InsertionSort@8,1.155174,437027,7000
QuickSort + InsertionSort@8,1.096299,437027,7000
QuickSort + InsertionSort@8,1.17494,437027,7000
QuickSort + InsertionSort@8,1.23193,450654,8000
QuickSort + InsertionSort@8,1.203714,450654,8000
QuickSort + InsertionSort@8,1.20574,450654,8000
QuickSort + InsertionSort@8,1.238565,450654,8000
QuickSort + InsertionSort@8,1.590216,450654,8000
QuickSort + InsertionSort@8,1.236819,450654,8000
QuickSort + InsertionSort@8,1.466248,509642,9000
QuickSort + InsertionSort@8,1.427905,509642,9000
QuickSort + InsertionSort@8,1.452628,509642,9000
QuickSort + InsertionSort@8,1.431537,509642,9000
QuickSort + InsertionSort@8,1.395569,509642,9000
QuickSort + InsertionSort@8,1.397035,509642,9000
QuickSort + InsertionSort@8,1.814896,615781,10000
QuickSort + InsertionSort@8,1.971201,615781,10000
QuickSort + InsertionSort@8,1.59727,615781,10000
QuickSort + InsertionSort@8,1.719632,615781,10000
QuickSort + InsertionSort@8,1.738838,615781,10000
QuickSort + InsertionSort@8,1.760978,615781,10000
QuickSort + InsertionSort@8,4.877296,1667874,25000
QuickSort + InsertionSort@8,4.801309,1667874,25000
QuickSort + InsertionSort@8,5.336223,1667874,25000
QuickSort + InsertionSort@8,4.847403,1667874,25000
QuickSort + InsertionSort@8,4.649753,1667874,25000
QuickSort + InsertionSort@8,4.997912,1667874,25000
QuickSort + InsertionSort@8,11.645545,3643697,50000
QuickSort + InsertionSort@8,11.50656,3643697,50000
QuickSort + InsertionSort@8,10.876313,3643697,50000
QuickSort + InsertionSort@8,10.75863,3643697,50000
QuickSort + InsertionSort@8,10.588427,3643697,50000
QuickSort + InsertionSort@8,10.810243,3643697,50000
QuickSort + InsertionSort@8,19.05305,6811311,75000
QuickSort + InsertionSort@8,18.790237,6811311,75000
QuickSort + InsertionSort@8,19.364682,6811311,75000
QuickSort + InsertionSort@8,18.752942,6811311,75000
QuickSort + InsertionSort@8,19.358396,6811311,75000
QuickSort + InsertionSort@8,19.952047,6811311,75000
