Name,Time,Comparisons,Size
BubbleSort,0.2585944,8613,100
BubbleSort,6.2767684,974025,1000
BubbleSort,16.5322687,3834082,2000
BubbleSort,41.05929669999999,8865044,3000
BubbleSort,71.7473798,15648087,4000
BubbleSort,116.0647303,24815036,5000
BubbleSort,169.60531989999998,35688051,6000
BubbleSort,233.65202159999998,48461076,7000
BubbleSort,314.0951156,63416072,8000
BubbleSort,405.482247,79956115,9000
BubbleSort,497.6394134,98110188,10000
ExchangeSort,0.29480000000000006,4950,100
ExchangeSort,2.9484473,499500,1000
ExchangeSort,9.2443381,1999000,2000
ExchangeSort,21.7470378,4498500,3000
ExchangeSort,39.3476054,7998000,4000
ExchangeSort,61.86534190000001,12497500,5000
ExchangeSort,89.8648361,17997000,6000
ExchangeSort,124.6983344,24496500,7000
ExchangeSort,162.44505930000003,31996000,8000
ExchangeSort,209.4064539,40495500,9000
ExchangeSort,261.0766592,49995000,10000
ExchangeSort,1790.5265894,312487500,25000
InsertionSort,0.14818230000000002,2541,100
InsertionSort,3.0589223999999997,253210,1000
InsertionSort,1.7387473,991826,2000
InsertionSort,3.9312328,2257524,3000
InsertionSort,7.1326315000000005,4018830,4000
InsertionSort,11.3082739,6238922,5000
InsertionSort,16.364363500000003,9002999,6000
InsertionSort,22.8768461,12344083,7000
InsertionSort,29.754682399999997,15841126,8000
InsertionSort,38.884767599999996,20056973,9000
InsertionSort,49.737969699999994,24920404,10000
InsertionSort,370.3660523,156388882,25000
MergeSort,0.035430399999999994,547,100
MergeSort,1.052571,8719,1000
MergeSort,0.9544927999999999,19381,2000
MergeSort,0.38676699999999997,30970,3000
MergeSort,0.4631942999999999,42808,4000
MergeSort,0.6284459,55224,5000
MergeSort,0.7045726999999999,67861,6000
MergeSort,0.8127919,80730,7000
MergeSort,1.0058260999999997,93596,8000
MergeSort,1.1272733000000001,106949,9000
MergeSort,1.2442715000000002,120444,10000
MergeSort,3.5657676,334104,25000
QuickSort,0.037301999999999995,1043,100
QuickSort,0.1443131,20692,1000
QuickSort,0.1862319,46962,2000
QuickSort,0.2674362,68604,3000
QuickSort,0.3693068,92499,4000
QuickSort,0.47394300000000006,133047,5000
QuickSort,0.6113278,167779,6000
QuickSort,0.6752674,200767,7000
QuickSort,0.8447232,215922,8000
QuickSort,0.9301742,258356,9000
QuickSort,1.0790056999999997,299338,10000
QuickSort,3.2679081000000005,755512,25000
SelectionSort,0.2434247,4950,100
SelectionSort,1.7027306,499500,1000
SelectionSort,6.2325449,1999000,2000
SelectionSort,14.4514804,4498500,3000
SelectionSort,24.8119175,7998000,4000
SelectionSort,38.9622634,12497500,5000
SelectionSort,56.109324,17997000,6000
SelectionSort,76.3285557,24496500,7000
SelectionSort,99.7586077,31996000,8000
SelectionSort,127.0163806,40495500,9000
SelectionSort,157.606742,49995000,10000
MergeSort,8.725843800000002,718159,50000
MergeSort,10.8458756,1121064,75000
MergeSort,15.146059400000002,1536919,100000
QuickSort,7.0406154,1643460,50000
QuickSort,9.920241200000001,2847712,75000
QuickSort,69.38598400000001,4000700,100000
