Name,Time,Comparisons,Size
QuickSort + InsertionSort@6,0.227543,1351,100
QuickSort + InsertionSort@6,0.126762,1351,100
QuickSort + InsertionSort@6,0.077314,1351,100
QuickSort + InsertionSort@6,0.091911,1351,100
QuickSort + InsertionSort@6,0.072146,1351,100
QuickSort + InsertionSort@6,0.029334,1351,100
QuickSort + InsertionSort@6,0.50607,40329,1000
QuickSort + InsertionSort@6,2.376,40329,1000
QuickSort + InsertionSort@6,3.088801,40329,1000
QuickSort + InsertionSort@6,0.200095,40329,1000
QuickSort + InsertionSort@6,0.141848,40329,1000
QuickSort + InsertionSort@6,0.136819,40329,1000
QuickSort + InsertionSort@6,0.32134,85109,2000
QuickSort + InsertionSort@6,0.784597,85109,2000
QuickSort + InsertionSort@6,0.691219,85109,2000
QuickSort + InsertionSort@6,0.327206,85109,2000
QuickSort + InsertionSort@6,0.352279,85109,2000
QuickSort + InsertionSort@6,0.383777,85109,2000
QuickSort + InsertionSort@6,1.219568,123894,3000
QuickSort + InsertionSort@6,0.82308,123894,3000
QuickSort + InsertionSort@6,0.616698,123894,3000
QuickSort + InsertionSort@6,0.384756,123894,3000
QuickSort + InsertionSort@6,0.485467,123894,3000
QuickSort + InsertionSort@6,0.447264,123894,3000
QuickSort + InsertionSort@6,0.552514,165062,4000
QuickSort + InsertionSort@6,0.554121,165062,4000
QuickSort + InsertionSort@6,0.502369,165062,4000
QuickSort + InsertionSort@6,0.502578,165062,4000
QuickSort + InsertionSort@6,0.570743,165062,4000
QuickSort + InsertionSort@6,0.537289,165062,4000
QuickSort + InsertionSort@6,0.863727,262974,5000
QuickSort + InsertionSort@6,0.907587,262974,5000
QuickSort + InsertionSort@6,0.835092,262974,5000
QuickSort + InsertionSort@6,0.721111,262974,5000
QuickSort + InsertionSort@6,0.723206,262974,5000
QuickSort + InsertionSort@6,0.776426,262974,5000
QuickSort + InsertionSort@6,0.987765,321623,6000
QuickSort + InsertionSort@6,0.935384,321623,6000
QuickSort + InsertionSort@6,0.894038,321623,6000
QuickSort + InsertionSort@6,0.931124,321623,6000
QuickSort + InsertionSort@6,0.93315,321623,6000
QuickSort + InsertionSort@6,0.949213,321623,6000
QuickSort + InsertionSort@6,1.072273,401762,7000
QuickSort + InsertionSort@6,1.124304,401762,7000
QuickSort + InsertionSort@6,1.131149,401762,7000
