Name,Time,Comparisons,Size
QuickSort + InsertionSort@6,0.10416833333333332,1351,100
QuickSort + InsertionSort@6,0.9905938333333334,40329,1000
QuickSort + InsertionSort@6,0.42317966666666657,85109,2000
QuickSort + InsertionSort@6,0.45954416666666664,123894,3000
QuickSort + InsertionSort@6,0.44451666666666667,165062,4000
QuickSort + InsertionSort@6,0.6605703333333333,262974,5000
QuickSort + InsertionSort@6,0.7738181666666667,321623,6000
QuickSort + InsertionSort@6,0.9199373333333334,401762,7000
QuickSort + InsertionSort@6,1.0483873333333333,385622,8000
QuickSort + InsertionSort@6,1.1420678333333332,488189,9000
QuickSort + InsertionSort@6,1.4086868333333333,624025,10000
QuickSort + InsertionSort@6,3.7463795,1432329,25000
QuickSort + InsertionSort@6,8.494084666666666,3231262,50000
QuickSort + InsertionSort@6,15.276545666666669,6029222,75000
QuickSort + InsertionSort@6,22.449222000000002,8332701,100000
MergeSort + InsertionSort@6,0.03983266666666666,210,100
MergeSort + InsertionSort@6,0.6864233333333333,3987,1000
MergeSort + InsertionSort@6,3.3307306666666663,9003,2000
MergeSort + InsertionSort@6,4.179989,13672,3000
MergeSort + InsertionSort@6,7.5245479999999985,20009,4000
MergeSort + InsertionSort@6,11.985660000000001,25671,5000
MergeSort + InsertionSort@6,16.799760666666668,30447,6000
MergeSort + InsertionSort@6,23.488750999999997,35525,7000
MergeSort + InsertionSort@6,31.037068500000004,43970,8000
MergeSort + InsertionSort@6,39.368749,50634,9000
MergeSort + InsertionSort@6,50.415346166666666,55662,10000
MergeSort + InsertionSort@6,371.5493751666666,152026,25000
MergeSort + InsertionSort@6,1696.873741,328857,50000
MergeSort + InsertionSort@6,3901.967463833333,533089,75000
MergeSort + InsertionSort@6,42685.605434,706651,100000
