Name,Time,Comparisons,Size
BubbleSort,0.973518,8613,100
BubbleSort,0.549372,17226,100
BubbleSort,0.132139,25839,100
BubbleSort,0.112025,34452,100
BubbleSort,0.125086,43065,100
BubbleSort,0.162381,51678,100
BubbleSort,0.203797,60291,100
BubbleSort,0.146597,68904,100
BubbleSort,0.133187,77517,100
BubbleSort,0.1848,86130,1000
BubbleSort,17.848288,1060155,1000
BubbleSort,18.165717,2034180,1000
BubbleSort,10.309411,3008205,1000
BubbleSort,4.419557,3982230,1000
BubbleSort,4.504972,4956255,1000
BubbleSort,4.878343,5930280,1000
BubbleSort,4.503715,6904305,1000
BubbleSort,4.989461,7878330,1000
BubbleSort,5.299346,8852355,1000
BubbleSort,4.473124,9826380,2000
BubbleSort,17.579399,13660462,2000
BubbleSort,18.192187,17494544,2000
BubbleSort,17.754072,21328626,2000
BubbleSort,18.190929,25162708,2000
BubbleSort,17.520942,28996790,2000
BubbleSort,17.413037,32830872,2000
BubbleSort,17.424771,36664954,2000
BubbleSort,17.342428,40499036,2000
BubbleSort,18.654815,44333118,2000
BubbleSort,17.379653,48167200,3000
BubbleSort,41.501504,57032244,3000
BubbleSort,41.473079,65897288,3000
BubbleSort,41.527415,74762332,3000
BubbleSort,43.478081,83627376,3000
BubbleSort,41.828989,92492420,3000
BubbleSort,42.178685,101357464,3000
BubbleSort,43.284621,110222508,3000
BubbleSort,45.162234,119087552,3000
BubbleSort,42.424037,127952596,3000
BubbleSort,41.85071,136817640,4000
BubbleSort,76.350975,152465727,4000
BubbleSort,76.685864,168113814,4000
BubbleSort,76.085997,183761901,4000
BubbleSort,77.315972,199409988,4000
BubbleSort,76.336587,215058075,4000
BubbleSort,75.774365,230706162,4000
BubbleSort,77.087451,246354249,4000
BubbleSort,76.364663,262002336,4000
BubbleSort,77.585,277650423,4000
BubbleSort,76.213876,293298510,5000
BubbleSort,122.610486,318113546,5000
BubbleSort,123.55872,342928582,5000
BubbleSort,123.273698,367743618,5000
BubbleSort,124.245261,392558654,5000
BubbleSort,123.177387,417373690,5000
BubbleSort,121.720568,442188726,5000
BubbleSort,124.491381,467003762,5000
BubbleSort,123.126054,491818798,5000
BubbleSort,123.089806,516633834,5000
BubbleSort,122.291101,541448870,6000
BubbleSort,180.302804,577136921,6000
BubbleSort,180.006188,612824972,6000
BubbleSort,180.791064,648513023,6000
BubbleSort,180.481667,684201074,6000
BubbleSort,180.557305,719889125,6000
BubbleSort,183.003217,755577176,6000
BubbleSort,178.076264,791265227,6000
BubbleSort,181.088379,826953278,6000
BubbleSort,193.80445,862641329,6000
BubbleSort,187.926189,898329380,7000
BubbleSort,256.769645,946790456,7000
BubbleSort,254.949511,995251532,7000
BubbleSort,253.654864,1043712608,7000
BubbleSort,253.723518,1092173684,7000
BubbleSort,251.478819,1140634760,7000
BubbleSort,255.339645,1189095836,7000
BubbleSort,251.224876,1237556912,7000
BubbleSort,252.455899,1286017988,7000
BubbleSort,251.557042,1334479064,7000
BubbleSort,252.261879,1382940140,8000
BubbleSort,334.482735,1446356212,8000
BubbleSort,335.217535,1509772284,8000
BubbleSort,334.024017,1573188356,8000
BubbleSort,345.990273,1636604428,8000
BubbleSort,341.741059,1700020500,8000
BubbleSort,342.119459,1763436572,8000
BubbleSort,351.859175,1826852644,8000
BubbleSort,340.453605,1890268716,8000
BubbleSort,339.15763,1953684788,8000
BubbleSort,344.111612,2017100860,9000
BubbleSort,449.32219,2097056975,9000
BubbleSort,455.466896,-2117954206,9000
BubbleSort,449.725594,-2037998091,9000
BubbleSort,460.040033,-1958041976,9000
BubbleSort,442.965307,-1878085861,9000
BubbleSort,438.398176,-1798129746,9000
BubbleSort,441.271167,-1718173631,9000
BubbleSort,435.749166,-1638217516,9000
BubbleSort,437.897903,-1558261401,9000
BubbleSort,436.485154,-1478305286,10000
BubbleSort,543.776723,-1380195098,10000
BubbleSort,540.344025,-1282084910,10000
BubbleSort,587.816678,-1183974722,10000
BubbleSort,544.61398,-1085864534,10000
BubbleSort,538.34391,-987754346,10000
BubbleSort,544.764977,-889644158,10000
BubbleSort,542.807466,-791533970,10000
BubbleSort,547.907415,-693423782,10000
BubbleSort,538.9553,-595313594,10000
BubbleSort,538.383789,-497203406,25000
ExchangeSort,0.476387,4950,100
ExchangeSort,0.397956,9900,100
ExchangeSort,0.280552,14850,100
ExchangeSort,0.31261,19800,100
ExchangeSort,0.403334,24750,100
ExchangeSort,0.499296,29700,100
ExchangeSort,0.266445,34650,100
ExchangeSort,0.301715,39600,100
ExchangeSort,0.311842,44550,100
ExchangeSort,0.388527,49500,1000
ExchangeSort,6.805474,549000,1000
ExchangeSort,6.165169,1048500,1000
ExchangeSort,2.77647,1548000,1000
ExchangeSort,2.590971,2047500,1000
ExchangeSort,2.985505,2547000,1000
ExchangeSort,3.778972,3046500,1000
ExchangeSort,2.615905,3546000,1000
ExchangeSort,2.620934,4045500,1000
ExchangeSort,2.557657,4545000,1000
ExchangeSort,2.577353,5044500,2000
ExchangeSort,10.261081,7043500,2000
ExchangeSort,10.141442,9042500,2000
ExchangeSort,10.546382,11041500,2000
ExchangeSort,10.189284,13040500,2000
ExchangeSort,12.303659,15039500,2000
ExchangeSort,10.15576,17038500,2000
ExchangeSort,10.083265,19037500,2000
ExchangeSort,10.096395,21036500,2000
ExchangeSort,10.152338,23035500,2000
ExchangeSort,10.642205,25034500,3000
ExchangeSort,24.098453,29533000,3000
ExchangeSort,24.09573,34031500,3000
ExchangeSort,24.028054,38530000,3000
ExchangeSort,24.041952,43028500,3000
ExchangeSort,24.101737,47527000,3000
ExchangeSort,24.333819,52025500,3000
ExchangeSort,24.092867,56524000,3000
ExchangeSort,24.244492,61022500,3000
ExchangeSort,24.342549,65521000,3000
ExchangeSort,29.851559,70019500,4000
ExchangeSort,43.542266,78017500,4000
ExchangeSort,44.378056,86015500,4000
ExchangeSort,43.960475,94013500,4000
ExchangeSort,43.456012,102011500,4000
ExchangeSort,44.209878,110009500,4000
ExchangeSort,43.708837,118007500,4000
ExchangeSort,43.67224,126005500,4000
ExchangeSort,43.408449,134003500,4000
ExchangeSort,43.664907,142001500,4000
ExchangeSort,43.440996,149999500,5000
ExchangeSort,68.738555,162497000,5000
ExchangeSort,68.973082,174994500,5000
ExchangeSort,69.181977,187492000,5000
ExchangeSort,69.142167,199989500,5000
ExchangeSort,68.716485,212487000,5000
ExchangeSort,69.056612,224984500,5000
ExchangeSort,68.943329,237482000,5000
ExchangeSort,70.065609,249979500,5000
ExchangeSort,68.774803,262477000,5000
ExchangeSort,68.93893,274974500,6000
ExchangeSort,102.526717,292971500,6000
ExchangeSort,101.314832,310968500,6000
ExchangeSort,101.067594,328965500,6000
ExchangeSort,104.191804,346962500,6000
ExchangeSort,101.637638,364959500,6000
ExchangeSort,100.619841,382956500,6000
ExchangeSort,102.153137,400953500,6000
ExchangeSort,101.351778,418950500,6000
ExchangeSort,101.540768,436947500,6000
ExchangeSort,102.492146,454944500,7000
ExchangeSort,140.550475,479441000,7000
ExchangeSort,138.834615,503937500,7000
ExchangeSort,139.027866,528434000,7000
ExchangeSort,138.131243,552930500,7000
ExchangeSort,139.383846,577427000,7000
ExchangeSort,140.344024,601923500,7000
ExchangeSort,137.568322,626420000,7000
ExchangeSort,138.797669,650916500,7000
ExchangeSort,137.406989,675413000,7000
ExchangeSort,140.091478,699909500,8000
ExchangeSort,188.488621,731905500,8000
ExchangeSort,184.025693,763901500,8000
ExchangeSort,181.62001,795897500,8000
ExchangeSort,180.788271,827893500,8000
ExchangeSort,181.49241,859889500,8000
ExchangeSort,181.093267,891885500,8000
ExchangeSort,183.493572,923881500,8000
ExchangeSort,181.802017,955877500,8000
ExchangeSort,182.274004,987873500,8000
ExchangeSort,181.621058,1019869500,9000
ExchangeSort,232.960055,1060365000,9000
ExchangeSort,235.072614,1100860500,9000
ExchangeSort,234.226207,1141356000,9000
ExchangeSort,233.542112,1181851500,9000
ExchangeSort,234.184722,1222347000,9000
ExchangeSort,234.85883,1262842500,9000
ExchangeSort,233.905497,1303338000,9000
ExchangeSort,234.399484,1343833500,9000
ExchangeSort,233.53883,1384329000,9000
ExchangeSort,237.307465,1424824500,10000
ExchangeSort,294.09499,1474819500,10000
ExchangeSort,295.54692,1524814500,10000
ExchangeSort,294.523396,1574809500,10000
ExchangeSort,300.029333,1624804500,10000
ExchangeSort,294.565161,1674799500,10000
ExchangeSort,299.618877,1724794500,10000
ExchangeSort,293.607498,1774789500,10000
ExchangeSort,293.960336,1824784500,10000
ExchangeSort,292.573777,1874779500,10000
ExchangeSort,297.563797,1924774500,25000
ExchangeSort,1990.26657,2237262000,25000
ExchangeSort,1993.689701,2549749500,25000
ExchangeSort,1995.70546,2862237000,25000
ExchangeSort,1991.871314,3174724500,25000
ExchangeSort,2000.290051,3487212000,25000
ExchangeSort,2028.414296,3799699500,25000
ExchangeSort,1996.307072,4112187000,25000
ExchangeSort,2005.159105,4424674500,25000
ExchangeSort,2029.269363,4737162000,25000
ExchangeSort,1989.266932,5049649500,100
ExchangeSort,0.047352,5049654450,100
ExchangeSort,0.036038,5049659400,100
ExchangeSort,0.037993,5049664350,100
ExchangeSort,0.040717,5049669300,100
ExchangeSort,0.037644,5049674250,100
ExchangeSort,0.043371,5049679200,100
ExchangeSort,0.034361,5049684150,100
ExchangeSort,0.042743,5049689100,100
ExchangeSort,0.03527,5049694050,100
ExchangeSort,0.036807,5049699000,1000
ExchangeSort,3.099696,5050198500,1000
ExchangeSort,2.619187,5050698000,1000
ExchangeSort,2.620026,5051197500,1000
ExchangeSort,3.831073,5051697000,1000
ExchangeSort,2.580635,5052196500,1000
ExchangeSort,2.601169,5052696000,1000
ExchangeSort,2.556889,5053195500,1000
ExchangeSort,2.563105,5053695000,1000
ExchangeSort,2.560032,5054194500,1000
ExchangeSort,2.553048,5054694000,2000
ExchangeSort,10.427093,5056693000,2000
ExchangeSort,10.461315,5058692000,2000
ExchangeSort,10.177131,5060691000,2000
ExchangeSort,10.115112,5062690000,2000
ExchangeSort,10.148915,5064689000,2000
ExchangeSort,10.113995,5066688000,2000
ExchangeSort,10.258287,5068687000,2000
ExchangeSort,10.130408,5070686000,2000
ExchangeSort,10.104357,5072685000,2000
ExchangeSort,10.094998,5074684000,3000
ExchangeSort,24.203146,5079182500,3000
ExchangeSort,24.434251,5083681000,3000
ExchangeSort,24.054943,5088179500,3000
ExchangeSort,33.096106,5092678000,3000
ExchangeSort,24.258949,5097176500,3000
